time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.06942391395568848,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.05116724967956543,[-0.92 -0.01 -0.59],1.0898348379462492,0.11086155074223825,0.8163563682570995,Maximum_Iterations_Exceeded,5.979417487662995,[ 0.42 -1.15  4.78 -2.38  1.44 -1.9 ]
2,0.049103736877441406,[-0.91 -0.02 -0.58],1.0807390073093859,0.1157403824170674,0.8132106471747549,Maximum_Iterations_Exceeded,7.673331701505584,[ 0.78 -1.15  6.2  -2.65  2.14 -2.62]
3,0.04746103286743164,[-0.91 -0.02 -0.56],1.067024358666869,0.1234462874513,0.8073442599838665,Maximum_Iterations_Exceeded,7.801615362987056,[ 1.14 -0.66  6.22 -2.03  2.68 -3.03]
4,0.053153038024902344,[-0.9  -0.03 -0.54],1.049102460927387,0.1338038556186417,0.7985096632147143,Maximum_Iterations_Exceeded,7.952005572799209,[ 1.49 -0.16  6.21 -1.44  3.13 -3.26]
5,0.047482967376708984,[-0.89 -0.05 -0.52],1.0269204091040414,0.14660799792069554,0.7863575432475101,Maximum_Iterations_Exceeded,8.119403473829674,[ 1.84  0.36  6.19 -0.89  3.48 -3.34]
6,0.05053234100341797,[-0.87 -0.06 -0.49],1.0003346366767973,0.16169506308850143,0.7703940231983335,Maximum_Iterations_Exceeded,8.586794760946978,[ 2.23  0.86  6.23 -0.34  4.01 -3.6 ]
7,0.051413774490356445,[-0.85 -0.08 -0.46],0.9693268811767667,0.17873902252591203,0.750206242237492,Maximum_Iterations_Exceeded,8.709344906758016,[ 2.6   1.43  6.13  0.09  4.21 -3.43]
8,0.05151033401489258,[-0.83 -0.1  -0.43],0.9338542576043192,0.19728794145115391,0.7253744457704906,Maximum_Iterations_Exceeded,9.101601670515915,[ 3.    1.97  6.16  0.36  4.48 -3.44]
9,0.04532647132873535,[-0.8  -0.12 -0.39],0.8945482029176668,0.21694322404392025,0.6960984256654902,Maximum_Iterations_Exceeded,8.825958393147882,[ 3.41  2.88  5.18  0.78  4.53 -3.16]
10,0.06333637237548828,[-0.76 -0.14 -0.35],0.8530287423050452,0.23740012868910293,0.6636797055779299,Maximum_Iterations_Exceeded,8.492267500402418,[ 3.83  4.11  3.33  1.15  4.47 -2.84]
11,0.04565024375915527,[-0.73 -0.16 -0.32],0.8101400352654423,0.25832793307953755,0.6287584167549704,Maximum_Iterations_Exceeded,8.723326213184817,[ 4.27  5.29  1.55  1.45  4.36 -2.52]
12,0.050872087478637695,[-0.69 -0.18 -0.28],0.7651313999216053,0.2789753833541834,0.5902882652217194,Maximum_Iterations_Exceeded,9.208980408567825,[ 4.73  6.07  0.72  1.57  4.21 -2.2 ]
13,0.047525882720947266,[-0.65 -0.2  -0.24],0.7166617403826918,0.29816335961063534,0.5464374901680941,Maximum_Iterations_Exceeded,9.488862053815211,[ 5.23  6.28  1.04  1.56  4.03 -1.89]
14,0.04994678497314453,[-0.6  -0.21 -0.2 ],0.6652859966974654,0.3147883068566852,0.4972513588155286,Maximum_Iterations_Exceeded,9.650327155706405,[ 5.7   6.27  1.12  1.86  3.76 -1.57]
15,0.04569196701049805,[-0.55 -0.23 -0.16],0.6133530884948297,0.3278248131378296,0.44521319871732556,Maximum_Iterations_Exceeded,9.633244003336522,[ 5.93  6.25  0.69  2.24  3.37 -1.29]
16,0.05368757247924805,[-0.49 -0.24 -0.13],0.5621094796096003,0.33627338738207324,0.39242534310870075,Maximum_Iterations_Exceeded,9.507814018022145,[ 6.01  6.24  0.33  2.35  2.92 -1.06]
17,0.045185089111328125,[-0.44 -0.24 -0.1 ],0.5112671668041531,0.3394466128632879,0.3395487721425255,Maximum_Iterations_Exceeded,9.344525569238005,[ 6.03  6.24  0.17  2.26  2.46 -0.87]
18,0.0514981746673584,[-0.39 -0.24 -0.08],0.4600409009275248,0.33692530508484997,0.2865616198781177,Maximum_Iterations_Exceeded,9.335693526043663,[ 6.12  6.28  0.18  2.18  2.21 -0.79]
19,0.04685807228088379,[-0.33 -0.23 -0.05],0.40876733447690977,0.3287719484433388,0.23436874194047885,Maximum_Iterations_Exceeded,9.235608766130122,[ 6.1   6.25 -0.05  2.32  1.8  -0.64]
