time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.33352208137512207,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.21837782859802246,[-0.92 -0.01 -0.59],1.0900561667869597,0.11089410804144849,0.8163248912901337,Maximum_Iterations_Exceeded,5.601630659961595,[ 0.43 -0.87  3.96 -1.74  1.52 -3.07]
2,0.21819210052490234,[-0.91 -0.02 -0.58],1.0811778364958677,0.1160434385581104,0.8131566873625901,Maximum_Iterations_Exceeded,8.399285408678468,[ 0.84 -1.15  6.22 -2.53  2.88 -3.89]
3,0.22464251518249512,[-0.91 -0.02 -0.56],1.0673745832939519,0.12437381775349907,0.807200569610843,Maximum_Iterations_Exceeded,8.7419544922615,[ 1.23 -0.66  6.22 -1.93  3.88 -4.12]
4,0.24633431434631348,[-0.9  -0.04 -0.54],1.0493459274527348,0.13558852323100481,0.7982387348373209,Maximum_Iterations_Exceeded,8.949867062515247,[ 1.61 -0.15  6.21 -1.37  4.49 -4.11]
5,0.2176191806793213,[-0.89 -0.05 -0.52],1.027063225504443,0.14933856509689694,0.7859475509622076,Maximum_Iterations_Exceeded,9.015996133412077,[ 1.97  0.37  6.19 -0.88  4.76 -3.94]
6,0.25875306129455566,[-0.87 -0.07 -0.49],1.0004973629225367,0.16527216953374865,0.7699864286655586,Maximum_Iterations_Exceeded,9.051185624769566,[ 2.33  0.91  6.17 -0.58  4.88 -3.67]
7,0.23189520835876465,[-0.85 -0.08 -0.46],0.9696221774027647,0.18303126200569333,0.7500078173360983,Maximum_Iterations_Exceeded,9.073083664492666,[ 2.7   1.47  6.13 -0.49  4.89 -3.34]
8,0.24679279327392578,[-0.83 -0.1  -0.43],0.9345422728675967,0.20222223732601888,0.7257817548692647,Maximum_Iterations_Exceeded,9.009835659342789,[ 3.08  2.14  5.89 -0.66  4.82 -2.97]
9,0.2443554401397705,[-0.8  -0.12 -0.39],0.896246346042955,0.22254498230837352,0.6978650267996178,Maximum_Iterations_Exceeded,8.44752048628206,[ 3.48  3.22  4.49 -0.53  4.67 -2.57]
