time_step,computation_time,tracking_error,Y_trajectory,X_trajectory,status_step,velocity_result
41,0.23285841941833496,[-0.02  0.01  0.01],0.0925491788514214,-0.0791547714955917,Maximum_Iterations_Exceeded,2.1683026228179187
42,0.25807905197143555,[-0.02  0.01  0.01],0.0937206566217327,-0.0785418955804276,Maximum_Iterations_Exceeded,1.9291225655945161
43,0.24479317665100098,[-0.02  0.01  0.01],0.09460008963838479,-0.07807157826343501,Maximum_Iterations_Exceeded,1.730440966500247
44,0.2518184185028076,[-0.02  0.    0.01],0.09521790941224852,-0.07773061375985801,Maximum_Iterations_Exceeded,1.568714993187146
45,0.23827028274536133,[-0.02  0.    0.01],0.09562668438714653,-0.07749507716834864,Maximum_Iterations_Exceeded,1.4387950084923338
46,0.24887895584106445,[-0.02  0.    0.01],0.09588123987514588,-0.07733941986962405,Maximum_Iterations_Exceeded,1.3350143370645093
47,0.24735689163208008,[-0.02  0.    0.01],0.09602920729294306,-0.07724097973990479,Maximum_Iterations_Exceeded,1.2518880335764608
48,0.24314427375793457,[-0.02  0.    0.01],0.09610777047690208,-0.07718166570366672,Maximum_Iterations_Exceeded,1.184511238865957
49,0.23280119895935059,[-0.02  0.    0.01],0.0961437751105812,-0.0771480567446096,Maximum_Iterations_Exceeded,1.1287432393544456
50,0.22211170196533203,[-0.02  0.    0.01],0.09615537959129791,-0.07713074320820003,Maximum_Iterations_Exceeded,1.081247733021815
51,0.21860146522521973,[-0.02  0.    0.01],0.09615415320200771,-0.0771234218222625,Maximum_Iterations_Exceeded,1.0394444231924844
52,0.23245525360107422,[-0.02  0.    0.01],0.09614703942358074,-0.07712202376119834,Maximum_Iterations_Exceeded,1.0014133970350816
53,0.22659873962402344,[-0.02  0.    0.01],0.09613793920671196,-0.07712399840606277,Maximum_Iterations_Exceeded,0.9657815481947453
54,0.22785234451293945,[-0.02  0.    0.01],0.0961288678837533,-0.07712778132055356,Maximum_Iterations_Exceeded,0.9316097628382927
55,0.23392415046691895,[-0.02  0.    0.01],0.09612073889297437,-0.07713242690934873,Maximum_Iterations_Exceeded,0.8982912379132879
56,0.24051856994628906,[-0.02  0.    0.01],0.09611386190628177,-0.07713736871348521,Maximum_Iterations_Exceeded,0.865465386724779
57,0.24732112884521484,[-0.02  0.    0.01],0.09610824168386498,-0.07714226972419097,Maximum_Iterations_Exceeded,0.8329480852001832
58,0.24334955215454102,[-0.02  0.    0.01],0.09610374752052805,-0.07714693188987062,Maximum_Iterations_Exceeded,0.8006770077007924
59,0.2500650882720947,[-0.02  0.    0.01],0.0961002035708121,-0.0771512424785305,Maximum_Iterations_Exceeded,0.7686699308467476
60,0.23803925514221191,[-0.02  0.    0.01],0.09609743335347351,-0.07715514242941791,Maximum_Iterations_Exceeded,0.7369936833723134
61,0.2428140640258789,[-0.02  0.    0.01],0.09609527908992785,-0.0771586074212944,Maximum_Iterations_Exceeded,0.7057415660574105
62,0.26002931594848633,[-0.02  0.    0.01],0.09609360799982275,-0.07716163616577845,Maximum_Iterations_Exceeded,0.6750173585898305
63,0.25457262992858887,[-0.02  0.    0.01],0.0960923123225215,-0.07716424280726754,Maximum_Iterations_Exceeded,0.64492435869205
