time_step,computation_time,tracking_error,Y_trajectory,status_step,velocity_result
36,0.06664228439331055,[0.01 0.07 0.  ],0.023672250298699616,Maximum_Iterations_Exceeded,6.84855432924716
37,0.06118583679199219,[ 0.01  0.08 -0.  ],0.02088570473362942,Maximum_Iterations_Exceeded,6.552692757299797
38,0.07012677192687988,[ 0.01  0.08 -0.  ],0.019143664886229532,Maximum_Iterations_Exceeded,6.197491495996261
39,0.05558013916015625,[ 0.01  0.08 -0.01],0.018083381012367433,Maximum_Iterations_Exceeded,5.869465774903146
40,0.07310318946838379,[ 0.01  0.08 -0.01],0.017374547269936865,Maximum_Iterations_Exceeded,5.716347884612028
41,0.05973076820373535,[ 0.01  0.08 -0.01],0.016787873426592978,Maximum_Iterations_Exceeded,5.779014802102678
42,0.06493592262268066,[ 0.01  0.08 -0.01],0.01634640795130553,Maximum_Iterations_Exceeded,5.864257364748799
43,0.05525684356689453,[ 0.01  0.08 -0.01],0.016348208762739087,Maximum_Iterations_Exceeded,5.657449917985612
44,0.06625103950500488,[ 0.01  0.08 -0.01],0.016959221551699415,Maximum_Iterations_Exceeded,5.0230747984443616
45,0.06926608085632324,[ 0.01  0.08 -0.01],0.018180427121236496,Maximum_Iterations_Exceeded,4.381677844459238
46,0.06704449653625488,[ 0.01  0.08 -0.01],0.020083478594461864,Maximum_Iterations_Exceeded,3.8687882035763903
47,0.05437517166137695,[ 0.01  0.08 -0.01],0.022697948680652974,Maximum_Iterations_Exceeded,3.4818432199055427
48,0.06822991371154785,[ 0.01  0.08 -0.01],0.0259736098080905,Maximum_Iterations_Exceeded,3.1996522022049745
49,0.06448578834533691,[ 0.01  0.07 -0.01],0.029827320514620066,Maximum_Iterations_Exceeded,3.0127209580223115
50,0.07974934577941895,[ 0.01  0.07 -0.01],0.03418493612340444,Maximum_Iterations_Exceeded,2.9021469902794332
51,0.06725192070007324,[ 0.    0.07 -0.01],0.03898095752437377,Maximum_Iterations_Exceeded,2.8501742555693563
52,0.08632206916809082,[ 0.    0.06 -0.01],0.04416833323671025,Maximum_Iterations_Exceeded,2.8410559449801265
53,0.06722593307495117,[-0.    0.06 -0.01],0.04971861267270018,Maximum_Iterations_Exceeded,2.859917791118416
54,0.07381987571716309,[-0.    0.05 -0.01],0.055609732065058724,Maximum_Iterations_Exceeded,2.895756973747492
55,0.06249380111694336,[-0.01  0.04 -0.01],0.061816576581822096,Maximum_Iterations_Exceeded,2.94166727511535
56,0.08378911018371582,[-0.01  0.04 -0.01],0.0683094950007724,Maximum_Iterations_Exceeded,2.993288006409466
57,0.07916879653930664,[-0.01  0.03 -0.01],0.0750549006029615,Maximum_Iterations_Exceeded,3.0473275227878416
58,0.07098150253295898,[-0.02  0.02 -0.01],0.08201903578474329,Maximum_Iterations_Exceeded,3.100660795836058
59,0.07008743286132812,[-0.02  0.02 -0.01],0.08917003913086702,Maximum_Iterations_Exceeded,3.151607467879641
60,0.06998062133789062,[-0.03  0.01 -0.01],0.09647250742181245,Maximum_Iterations_Exceeded,3.1984630247534422
61,0.06309890747070312,[-0.03  0.   -0.01],0.10384547750648723,Maximum_Iterations_Exceeded,3.23815315116538
62,0.0655832290649414,[-0.04 -0.   -0.01],0.11006935342295784,Maximum_Iterations_Exceeded,3.2534790818593318
63,0.059519290924072266,[-0.04 -0.01 -0.01],0.11367631163656726,Maximum_Iterations_Exceeded,3.0294189729783674
64,0.07279562950134277,[-0.04 -0.01 -0.01],0.11439752671969802,Maximum_Iterations_Exceeded,3.3115632200536833
65,0.0669562816619873,[-0.05 -0.01 -0.01],0.1126924764682477,Maximum_Iterations_Exceeded,3.587432409730238
66,0.08053874969482422,[-0.04 -0.01 -0.  ],0.10946071655200339,Maximum_Iterations_Exceeded,3.6908565613170827
67,0.06500244140625,[-0.04 -0.01 -0.  ],0.10565163597782187,Maximum_Iterations_Exceeded,3.6784493891657157
68,0.06757616996765137,[-0.04 -0.01 -0.  ],0.10198302159124349,Maximum_Iterations_Exceeded,3.578323318739631
69,0.06223416328430176,[-0.04 -0.    0.  ],0.09877443012150756,Maximum_Iterations_Exceeded,3.433297125253129
70,0.06431722640991211,[-0.03  0.    0.  ],0.09612055236381042,Maximum_Iterations_Exceeded,3.2952445762125073
71,0.059981346130371094,[-0.03  0.    0.  ],0.09406383629611079,Maximum_Iterations_Exceeded,3.1423994013635115
72,0.06612706184387207,[-0.03  0.01  0.  ],0.09257502140489926,Maximum_Iterations_Exceeded,2.989787723722482
73,0.06909584999084473,[-0.03  0.01  0.01],0.09158593705407472,Maximum_Iterations_Exceeded,2.843796351129026
74,0.06778311729431152,[-0.03  0.01  0.01],0.09101301791514668,Maximum_Iterations_Exceeded,2.704148090517971
75,0.060210227966308594,[-0.03  0.01  0.01],0.09076828058339234,Maximum_Iterations_Exceeded,2.567550104842546
76,0.08224225044250488,[-0.03  0.01  0.01],0.09076780443964216,Maximum_Iterations_Exceeded,2.4300971988961964
77,0.06704878807067871,[-0.03  0.01  0.01],0.09100928845858103,Maximum_Iterations_Exceeded,2.2887241293218348
78,0.06555461883544922,[-0.02  0.01  0.01],0.09141815811696141,Maximum_Iterations_Exceeded,2.1070001347912637
79,0.06029558181762695,[-0.02  0.01  0.01],0.09191939152400828,Maximum_Iterations_Exceeded,1.9722473086445358
80,0.06862688064575195,[-0.02  0.01  0.01],0.09244785990833136,Maximum_Iterations_Exceeded,1.7934251381491328
81,0.061310529708862305,[-0.02  0.01  0.01],0.09295911240862309,Maximum_Iterations_Exceeded,1.664035931453998
82,0.06857538223266602,[-0.02  0.01  0.01],0.09342462236340385,Maximum_Iterations_Exceeded,1.494728165456819
83,0.06396865844726562,[-0.02  0.01  0.01],0.09383071656726401,Maximum_Iterations_Exceeded,1.3814938312277747
84,0.07332849502563477,[-0.02  0.01  0.01],0.09417347842611916,Maximum_Iterations_Exceeded,1.2373427904827667
85,0.06501555442810059,[-0.02  0.01  0.01],0.09445412704052816,Maximum_Iterations_Exceeded,1.1544101072876012
86,0.07452678680419922,[-0.02  0.01  0.01],0.09467771672164307,Maximum_Iterations_Exceeded,1.051273843009135
87,0.06030154228210449,[-0.02  0.01  0.01],0.09484958113347955,Maximum_Iterations_Exceeded,1.007693073913061
88,0.06941032409667969,[-0.02  0.01  0.01],0.09497675270310466,Maximum_Iterations_Exceeded,0.952734656735436
89,0.06404399871826172,[-0.02  0.01  0.01],0.09506503309491379,Maximum_Iterations_Exceeded,0.9457697617914981
90,0.07333874702453613,[-0.02  0.    0.01],0.0951215725338106,Maximum_Iterations_Exceeded,0.931559329922385
91,0.062036752700805664,[-0.02  0.    0.01],0.09515144594892053,Maximum_Iterations_Exceeded,0.9479440918637215
92,0.07135891914367676,[-0.02  0.    0.01],0.09516069380282954,Maximum_Iterations_Exceeded,0.9579485031208621
93,0.06427955627441406,[-0.02  0.    0.01],0.09515319696093062,Maximum_Iterations_Exceeded,0.9832511509446913
94,0.06774783134460449,[-0.02  0.    0.01],0.09513371739923027,Maximum_Iterations_Exceeded,1.0023742910932487
95,0.06499004364013672,[-0.02  0.    0.01],0.09503283291727313,Maximum_Iterations_Exceeded,1.0271733470466653
96,0.07345938682556152,[-0.02  0.    0.01],0.09493955770247998,Maximum_Iterations_Exceeded,1.0529899887281482
97,0.06597566604614258,[-0.02  0.01  0.01],0.0948740830631481,Maximum_Iterations_Exceeded,1.0704315234432868
98,0.06855630874633789,[-0.02  0.01  0.01],0.0947656243269186,Maximum_Iterations_Exceeded,1.0882919637430104
99,0.061717987060546875,[-0.02  0.01  0.01],0.09468900149954972,Maximum_Iterations_Exceeded,1.1072970670563993
