time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.09615325927734375,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.07748794555664062,[-0.92 -0.01 -0.59],1.0899318305364003,0.11044158862097148,0.8164371893780059,Maximum_Iterations_Exceeded,5.502824917144095,[ 0.32 -1.11  4.67 -2.35 -0.17 -1.26]
2,0.07466530799865723,[-0.91 -0.01 -0.58],1.0809204229127705,0.11469196943073064,0.8133956360021677,Maximum_Iterations_Exceeded,7.518718132927713,[ 0.73 -1.18  6.28 -2.66  1.17 -2.6 ]
3,0.08200812339782715,[-0.91 -0.02 -0.56],1.0671174955253464,0.1221838655542753,0.8074877761526187,Maximum_Iterations_Exceeded,7.890814028582895,[ 1.13 -0.68  6.27 -1.95  2.33 -3.46]
4,0.07598614692687988,[-0.9  -0.03 -0.54],1.0489836199550702,0.13277316493272653,0.7984425299560374,Maximum_Iterations_Exceeded,8.576788540694654,[ 1.55 -0.18  6.27 -1.25  3.52 -4.22]
5,0.07156801223754883,[-0.89 -0.05 -0.52],1.0264451459718977,0.14625541043337986,0.7858618292105172,Maximum_Iterations_Exceeded,9.302214796887172,[ 1.96  0.33  6.26 -0.58  4.55 -4.74]
6,0.07841134071350098,[-0.87 -0.06 -0.49],0.9994486597002218,0.1622779087290533,0.7693136710414988,Maximum_Iterations_Exceeded,9.93457580853916,[ 2.36  0.85  6.25  0.05  5.33 -4.99]
7,0.07475018501281738,[-0.85 -0.08 -0.46],0.9679634321098587,0.18034760405441852,0.7483757424719517,Maximum_Iterations_Exceeded,10.311280768991606,[ 2.76  1.39  6.22  0.56  5.71 -5.02]
8,0.08606338500976562,[-0.82 -0.1  -0.43],0.931967937410371,0.1999369537863989,0.7226680937897133,Maximum_Iterations_Exceeded,10.681166353835582,[ 3.17  1.95  6.21  0.79  5.98 -5.02]
9,0.07043147087097168,[-0.79 -0.12 -0.39],0.8921061257966675,0.22059701902248963,0.692513414175308,Maximum_Iterations_Exceeded,10.515720405309283,[ 3.6   2.84  5.37  0.77  6.01 -4.89]
10,0.08234429359436035,[-0.76 -0.14 -0.35],0.8501893833338279,0.24212314355052783,0.6594421341879793,Maximum_Iterations_Exceeded,10.170365899453945,[ 4.06  4.21  3.21  0.9   5.98 -4.73]
11,0.07594609260559082,[-0.72 -0.16 -0.32],0.8073171423288553,0.2643259643860221,0.6242503833737483,Maximum_Iterations_Exceeded,10.448242504748963,[ 4.54  5.49  1.15  1.15  5.93 -4.54]
12,0.09201216697692871,[-0.69 -0.19 -0.28],0.7623431197993352,0.28639191561336785,0.5853202593986657,Maximum_Iterations_Exceeded,10.906519011237762,[ 5.05  6.23  0.42  1.54  5.81 -4.28]
13,0.07110381126403809,[-0.64 -0.21 -0.24],0.7128165118984335,0.30677531618389636,0.53971716896878,Maximum_Iterations_Exceeded,11.11687567996338,[ 5.64  6.31  1.36  1.57  5.63 -4.01]
14,0.08402132987976074,[-0.59 -0.22 -0.2 ],0.6592954687393221,0.3244560210177239,0.4873561042700202,Maximum_Iterations_Exceeded,11.209326807315737,[ 6.32  6.29  1.42  2.14  5.16 -3.59]
15,0.06826972961425781,[-0.53 -0.24 -0.16],0.6060206306731148,0.33797681488640857,0.4328222373369335,Maximum_Iterations_Exceeded,10.915682198711696,[ 6.28  6.27  0.63  2.54  4.7  -3.39]
16,0.07896590232849121,[-0.48 -0.25 -0.13],0.5540775317798524,0.3458630025624912,0.37859440597039484,Maximum_Iterations_Exceeded,10.748753524613337,[ 6.3   6.28  0.4   2.56  4.37 -3.26]
17,0.07999873161315918,[-0.42 -0.25 -0.1 ],0.5025434935414439,0.34795593156033705,0.3245839837268685,Maximum_Iterations_Exceeded,10.509771511584189,[ 6.29  6.28  0.12  2.5   3.97 -3.07]
18,0.07909798622131348,[-0.37 -0.24 -0.08],0.45105513936593455,0.34412492434474024,0.27115013217536915,Maximum_Iterations_Exceeded,10.34280811289615,[ 6.31  6.29  0.13  2.41  3.65 -2.93]
19,0.07673501968383789,[-0.32 -0.23 -0.05],0.3995326663976735,0.33427947516454837,0.2189502060546948,Maximum_Iterations_Exceeded,10.013900749339493,[ 6.21  6.27 -0.03  2.36  3.12 -2.65]
20,0.0783529281616211,[-0.27 -0.22 -0.03],0.3479934346536519,0.3185221672846578,0.16864766130233366,Maximum_Iterations_Exceeded,9.896931289827595,[ 6.17  6.28  0.06  2.53  2.81 -2.49]
21,0.09432458877563477,[-0.22 -0.2  -0.02],0.29654007037747127,0.29711810393456306,0.12092679359714271,Maximum_Iterations_Exceeded,9.62642637880865,[ 6.    6.25 -0.02  2.56  2.4  -2.31]
22,0.08560538291931152,[-0.18 -0.17 -0.  ],0.2471370137368028,0.27182137464563644,0.07762384865928337,Maximum_Iterations_Exceeded,9.292119884049631,[ 5.81  5.92 -0.22  2.99  1.98 -2.15]
23,0.07342743873596191,[-0.14 -0.14  0.01],0.20160082816489677,0.24481397107799346,0.039986090364169696,Maximum_Iterations_Exceeded,9.179580048419323,[ 5.58  5.52 -0.45  4.04  1.48 -1.98]
