time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.36672329902648926,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.2181229591369629,[-0.92 -0.01 -0.59],1.0914402864928443,0.10993780343121345,0.8167980143722878,Maximum_Iterations_Exceeded,3.55728865133571,[ 0.19 -0.38  2.   -0.92  0.69 -2.68]
2,0.24591660499572754,[-0.92 -0.01 -0.59],1.0863822051051697,0.11228428919635267,0.8153294998424284,Maximum_Iterations_Exceeded,6.23967424267654,[ 0.38 -0.75  3.99 -1.95  1.36 -4.08]
3,0.21199607849121094,[-0.91 -0.02 -0.57],1.0777773056567557,0.11613136038922009,0.8124590282536407,Maximum_Iterations_Exceeded,8.206423909217655,[ 0.57 -1.01  5.64 -2.79  1.97 -4.75]
4,0.2227168083190918,[-0.91 -0.02 -0.56],1.065770130977087,0.12138620348487535,0.8077323733481189,Maximum_Iterations_Exceeded,8.959774179798279,[ 0.74 -0.9   6.22 -2.98  2.49 -5.01]
5,0.2115471363067627,[-0.9  -0.03 -0.54],1.050799267859034,0.1279430600042263,0.8009620003212305,Maximum_Iterations_Exceeded,9.036562092052693,[ 0.92 -0.58  6.22 -2.81  2.89 -5.05]
6,0.2776603698730469,[-0.89 -0.04 -0.52],1.0330312379782902,0.13571911674463283,0.7920183949175782,Maximum_Iterations_Exceeded,9.198124717663184,[ 1.09 -0.26  6.23 -2.64  3.3  -5.16]
7,0.25516557693481445,[-0.88 -0.04 -0.5 ],1.0124346349866424,0.1445878641394912,0.7807139193957616,Maximum_Iterations_Exceeded,9.116305057404622,[ 1.26  0.09  6.2  -2.49  3.52 -4.95]
8,0.22037744522094727,[-0.87 -0.05 -0.47],0.9889921092479276,0.1543527693703466,0.7668704802277345,Maximum_Iterations_Exceeded,8.979971124275986,[ 1.42  0.44  6.17 -2.37  3.57 -4.69]
9,0.26143860816955566,[-0.85 -0.06 -0.45],0.9626976676057974,0.16482576668577617,0.7503076522748734,Maximum_Iterations_Exceeded,8.758406058638233,[ 1.59  0.82  6.07 -2.23  3.52 -4.4 ]
10,0.24225902557373047,[-0.83 -0.08 -0.42],0.9340526022584683,0.17587532291293903,0.7312635314132057,Maximum_Iterations_Exceeded,8.022989803758438,[ 1.76  1.42  5.33 -1.7   3.43 -4.03]
